"* Required Fields","* Required Fields"
"%1 mins","%1 mins"
"Choose how one time codes are delivered.","Choose how one time codes are delivered."
"Communication Methods","Communication Methods"
"Could not delete OTS request: %1","Could not delete OTS request: %1"
"Could not save OTS request: %1","Could not save OTS request: %1"
"Email","Email"
"Email Address","Email Address"
"Email Sender","Email Sender"
"Enable","Enable"
"Enter the passcode sent to your email address.","Enter the passcode sent to your email address."
"Enter your email address to receive a one time code.","Enter your email address to receive a one time code."
"General","General"
"Get Code","Get Code"
"Hello %customer_name,","Hello %customer_name,"
"HMH OTS Login Passcode","HMH OTS Login Passcode"
"If the email address exists, a one time code request has been created.","If the email address exists, a one time code request has been created."
"If you did not request this code, you can safely ignore this email.","If you did not request this code, you can safely ignore this email."
"Login with One Time Code","Login with One Time Code"
"Login with One Time Code.","Login with One Time Code."
"Login with Passcode","Login with Passcode"
"One Time Code Login","One Time Code Login"
"One time code login succeeded.","One time code login succeeded."
"OTS Login","OTS Login"
"OTS Login Configuration","OTS Login Configuration"
"OTS request with ID ""%1"" does not exist.","OTS request with ID ""%1"" does not exist."
"Passcode","Passcode"
"Passcode Valid Period","Passcode Valid Period"
"Specify the ""email"" value.","Specify the ""email"" value."
"Specify the ""passcode"" value.","Specify the ""passcode"" value."
"The ""%1"" communication method is not available.","The ""%1"" communication method is not available."
"The email address has an invalid format.","The email address has an invalid format."
"The email has been sent. Please be patient.","The email has been sent. Please be patient."
"The one time code could not be emailed right now. Please try again later.","The one time code could not be emailed right now. Please try again later."
"The one time code is invalid or has already been used.","The one time code is invalid or has already been used."
"The one time code must contain only letters and numbers.","The one time code must contain only letters and numbers."
"There is no customer registered with that email address.","There is no customer registered with that email address."
"Unable to request a one time code right now.","Unable to request a one time code right now."
"Use the code below to sign in to your account. Enter it on the login screen to continue.","Use the code below to sign in to your account. Enter it on the login screen to continue."
"Validity period in minutes.","Validity period in minutes."
"Your one time login code","Your one time login code"
"Your one time login code for %store_name","Your one time login code for %store_name"
